Time,T,D mm,Lever water
2012-09-08 15:00:00,26.35,-0.2728252122924507,203.84
2012-09-09 15:00:00,26.55,-0.2745895533831973,204.1
2012-09-10 15:00:00,26.52,-0.26605261511637845,204.47
2012-09-11 15:00:00,26.86,-0.2612206742276404,204.77
2012-09-12 15:00:00,26.94,-0.2563580326870734,205.1
2012-09-13 15:00:00,26.82,-0.2527062156257569,205.62
2012-09-14 15:00:00,25.85,-0.23490092898414766,206.43
2012-09-15 15:00:00,25.41,-0.23806371081198457,207.19
2012-09-16 09:00:00,26.12,-0.22077201995508228,207.58
2012-09-17 15:00:00,26.44,-0.21300543848983763,208.16
2012-09-18 15:00:00,26.67,-0.21172022551509112,208.59
2012-09-19 15:00:00,26.22,-0.22383002535955498,209.28
2012-09-20 15:00:00,26.51,-0.23759877002549035,210.2
2012-09-21 15:00:00,25.95,-0.24210201328574382,210.32
2012-09-22 15:00:00,26.04,-0.24762735310325654,210.4
2012-09-23 15:00:00,26.03,-0.2539190961808534,210.51
2012-09-24 15:00:00,26.44,-0.26209561830235645,210.52
2012-09-25 15:00:00,26.42,-0.2650112922163215,210.34
2012-09-26 15:00:00,26.19,-0.26416830819329995,210.2
2012-09-27 15:00:00,26.57,-0.2555222832400873,210.08
2012-09-28 15:00:00,26.6,-0.2478012852876988,210.12
2012-09-29 15:00:00,26.39,-0.23320523973932727,210.23
2012-09-30 15:00:00,26.16,-0.20771571969127883,210.44
2012-10-01 15:00:00,26.17,-0.18761155147064995,210.56
2012-10-02 15:00:00,26.03,-0.1728568941934519,210.45
2012-10-03 15:00:00,26.23,-0.17716341296539612,210.39
2012-10-04 15:00:00,26.38,-0.18169569251711845,210.59
2012-10-05 15:00:00,26.52,-0.187527504705955,211.03
2012-10-06 15:00:00,26.32,-0.1772688955821765,211.3
2012-10-07 15:00:00,26.49,-0.172616073988352,211.54
2012-10-08 15:00:00,26.41,-0.16451768627868651,211.71
2012-10-09 15:00:00,26.28,-0.16100113604177765,211.64
2012-10-11 15:00:00,26.34,-0.1656400194201546,211.54
2012-10-12 15:00:00,26.31,-0.16496744196136345,211.56
2012-10-13 15:00:00,26.39,-0.17030284420540648,211.47
2012-10-14 15:00:00,26.62,-0.18112811174591378,211.46
2012-10-15 15:00:00,26.08,-0.19207443369454272,211.47
2012-10-16 15:00:00,26.22,-0.1838807461214823,211.36
2012-10-17 15:00:00,25.95,-0.20279372693824577,211.39
2012-10-18 15:00:00,25.25,-0.20795843367339883,211.61
2012-10-20 15:00:00,26.22,-0.1838807461214823,211.87
2012-10-21 15:00:00,26.33,-0.1791577416959646,211.96
2012-10-22 15:00:00,26.36,-0.17643037768987885,212.06
2012-10-23 15:00:00,26.35,-0.1683788638794015,212.25
2012-10-24 15:00:00,26.24,-0.16013990490091695,212.4
2012-10-25 15:00:00,26.28,-0.14920736519376113,212.56
2012-10-26 15:00:00,26.37,-0.15016211581121072,212.58
2012-10-27 15:00:00,26.39,-0.14735197015924803,212.69
2012-10-28 15:00:00,26.25,-0.1413100506841469,212.91
2012-10-29 15:00:00,26.39,-0.14543939732206496,213.16
2012-10-30 15:00:00,26.2,-0.14121666661249807,213.41
2012-10-31 15:00:00,26.21,-0.13991786817884416,213.72
2012-11-01 15:00:00,26.01,-0.10894747981120763,213.91
2012-11-02 15:00:00,25.79,-0.09417741062850653,214.09
2012-11-03 15:00:00,25.86,-0.10208304251784231,214.2
2012-11-04 15:00:00,25.95,-0.09793621714099691,214.31
2012-11-05 15:00:00,26.0,-0.09622259767989497,214.35
2012-11-06 19:00:00,25.17,-0.11139000345344416,214.58
2012-11-07 08:00:00,26.0,-0.11917051667109341,214.67
2012-11-08 15:00:00,26.08,-0.12535372166597578,214.94
2012-11-09 15:00:00,25.41,-0.13779234319102884,215.05
2012-11-10 15:00:00,25.48,-0.1522833476077738,214.95
2012-11-11 15:00:00,25.67,-0.14396863683628724,214.83
